Artistas,Link,Descripción,Responsable,Produción
Cumbia Providencia,https://www.ivoox.com/fusion-colombia-cumbia-providencia-audios-mp3_rf_58366104_1.html,"En esta ocasión en Fusión Colombia presentamos, Cumbia Providencia, Chamo - Turn Blue, Los Jalapeños Olvidados, Niño Pueblo. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 15 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Emje Rose - Invitada,https://www.ivoox.com/fusion-colombia-emje-rose-invitada-audios-mp3_rf_58367177_1.html,"En este episodio de Fusión Colombia entrevistamos a Emje Rose, artista de Curramba Arenosa. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 18 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Festival de la Gaita,https://www.ivoox.com/fusion-colombia-festival-de-la-gaita-audios-mp3_rf_58367736_1.html,"En esta ocasión en Fusión Colombia presentamos, Festival De La Gaita",No aplica,No aplica
Chirimia Caucana,https://www.ivoox.com/fusion-colombia-chirimia-caucana-audios-mp3_rf_58491162_1.html,"En Fusión Colombia presentamos, Chirimia Caucana, Romperayo, Abelardo Carbonó, Andres Correa. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 29 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Jazz al parque,https://www.ivoox.com/fusion-colombia-jazz-al-parque-audios-mp3_rf_58489772_1.html,"En esta ocasión en Fusión Colombia presentamos, Jazz al parque, Suricato, Ceferina Banquez, Maria Escobar y Toquinho, Quinteto Leopoldo Federico. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 24 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Quinteto Leopoldo Federico,https://www.ivoox.com/fusion-colombia-quinteto-leopoldo-federico-invitados-audios-mp3_rf_58490381_1.html,"Hoy en Fusión Colombia presentamos, El Quinteto Leopoldo Federico, Un dialogo entre arreglistas y compositores Colombianos y Argentinos, de grandes maestros de las melodías del sur y la música Andina. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 25 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Lucia Pulido,https://www.ivoox.com/fusion-colombia-lucia-pulido-cantos-de-audios-mp3_rf_58490964_1.html,"En esta ocasión en Fusión Colombia presentamos, Lucia Pulido – Catos de Vaquería. /--/Realizador: Alejandro Patiño /--/Fecha de emisión: 28 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Premios Latín Grammy 21,https://www.ivoox.com/fusion-colombia-premios-latin-grammy-21-audios-mp3_rf_60038580_1.html,"En esta ocasión de Fusión Colombia presentamos, “Premios Latín Grammy 21”, escucharemos, Diamante Eléctrico, Carlos Vives, Quinteto Leopoldo Federico. Realizador: Alejandro Patiño. Fecha de emisión: 1 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Quinteto Leopoldo Federico 2,https://www.ivoox.com/quinteto-leopoldo-federico-2-audios-mp3_rf_60038784_1.html,"Hoy en Fusión Colombia presentamos, “Quinteto Leopoldo Federico 2”, de ellos escucharemos, Corazón De Artista, Como Si Fuera Fácil, Una Pena, Aventura, entre otros. Realizador: Alejandro Patiño. Fecha de emisión: 2 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Gozalo – La 33,https://www.ivoox.com/fusion-colombia-gozalo-8211-la-33-audios-mp3_rf_60039024_1.html,"Esta vez en Fusión Colombia presentamos, “Gozalo – La 33”, De las mejores agrupaciones de “Salsa dura”, de Bogotá",No aplica,No aplica
Threehouse Studios,https://www.ivoox.com/fusion-colombia-threehouse-studios-audios-mp3_rf_60039412_1.html,"Esta ocasión en Fusión Colombia presentamos, “Threehouse Studios”, de este colectivo escucharemos varias agrupaciones pereiranas. Realizador: Alejandro Patiño. Fecha de emisión: 7 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Gaiteros,https://www.ivoox.com/fusion-colombia-gaiteros-audios-mp3_rf_60833570_1.html,"Hoy en Fusión Colombia presentamos, “Gaiteros”, escucharemos, Gaiteros De Pueblo Santo – Pueblo Santo, Gaiteros De San Jacinto – Tengo Amores Con La Gaita, Maestro Toño Garcia, Sango Groove – Mi Tambor. Realizador: Alejandro Patiño.  Fecha de emisión: 8 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Sango Groove,https://www.ivoox.com/fusion-colombia-sango-groove-audios-mp3_rf_60833733_1.html,"En esta ocasión en Fusión Colombia presentamos, “Sango Groove”, escuchamos su entrevista en la que nos habla de su álbum “Mezcla”, también escucharemos sus canciones, Negrita, Cimarrón, El Destrampe, Mamá Loca, y mas. Realizador: Alejandro Patiño. Fecha de emisión: 9 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Son De Cuba y Dueto Piedraluna,https://www.ivoox.com/fusion-colombia-son-de-cuba-dueto-audios-mp3_rf_60834579_1.html,"En Fusión Colombia presentamos, “Son De Cuba y Dueto Piedraluna”, escucharemos, “Salsa Azteca, Pa La Batalla, Guajira Con Amor - Son De Cuba”,” Alunizando, Lluvia Fue - El Dueto Piedraluna” Realizador: Alejandro Patiño. Fecha de emisión: 14 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Bogotá Suena Vol.4,https://www.ivoox.com/fusion-colombia-bogota-suena-vol-4-audios-mp3_rf_60835709_1.html,"En esta ocasión en Fusión Colombia presentamos, “Bogotá Suena Vol.4”, escucharemos “Suricato – Tanto Por Mirar”, “Pedrina - Sufro”, “Piangua – Suena La Campana”, “Spektra De La Rima - Escencia”, “Caravanchela - Hey”, y mas. Realizador: Alejandro Patiño. Fecha de emisión: 16 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Rock Colombia – Sello MTM,https://www.ivoox.com/fusion-colombia-rock-colombia-8211-sello-mtm-audios-mp3_rf_60836263_1.html,"Esta vez en Fusión Colombia presentamos, “Rock Colombia – Sello MTM”, de ellos escucharemos, “Aterciopelados - El Desinflar De Tu Cariño”, “Carlos Vives - Londres”, “Velandia Y La Tigra – La Cuña”, “1280 Almas - Basurita”, entre otros. Realizador: Alejandro Patiño. Fecha de emisión: 19 Octubre 2020",David Vargas,Productor: Luz Mery Bermúdez
Agua e Lulo y Catalina Avila,https://www.ivoox.com/fusion-colombia-agua-e-lulo-catalina-audios-mp3_rf_60975051_1.html,"Hoy en Fusión Colombia presentamos, “Agua e Lulo y Catalina Avila”, escucharemos, “Agua´e Lulo Trio – No He Ido A San Pacho”, “Catalina Avila – No Es Un Dia Para Llorar, Sombrerito Blanco”. Realizador: Alejandro Patiño. Fecha de emisión: 20 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Bogotá Suena Volumen.4,https://www.ivoox.com/fusion-colombia-bogota-suena-vol-4-parte-2-audios-mp3_rf_60978621_1.html,"Este recorrido por las nuevas músicas Colombianas en Fusión Colombia presentamos, “Bogotá Suena Volumen.4”, escucharemos, “Los Carrangomelos – El Pasaporte, Laurita La Metalera”, “Tequendama”, “Morfonia – Rinoceronte”, “Los Yoryis – Nu Raspa”, entre otros. Realizador: Alejandro Patiño. Fecha de emisión: 23 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Kolombian Jazz 20 AÑOS - Puerto Candelaria,https://www.ivoox.com/fusion-colombia-kolombian-jazz-20-anos-audios-mp3_rf_61050173_1.html,"Esta ocasión en Fusión Colombia presentamos, “Kolombian Jazz 20 AÑOS - Puerto Candelaria”, de este trabajo escucharemos, Amanecer, Joselito, Cuento Andino, Proceso, ChucuChucu, Merecumbé, 1998, Suspiro",No aplica,No aplica
El legado de Karl Marx,https://co.ivoox.com/es/hace-anos-el-legado-karl-marx-audios-mp3_rf_53850609_1.html,"En este episodio de Hace años en la historia presentamos “El legado de Karl Marx”, a la fecha de su muerte Karl Marx era aun desconocido, en un discurso pronunciado durante el funeral, ante un puñado de amigos fieles, Friederich Engels declaro “Su nombre perdurara durante siglos junto con su obra”.  /--/Realizador: Jose  Fernando Marin /--/Fecha de emisión: Junio/13/2020",David Vargas,Productor: Luz Mery Bermúdez
Adrian Alzate – Hip Hop a Blanco y Negro,https://www.ivoox.com/fusion-colombia-adrian-alzate-8211-hip-hop-audios-mp3_rf_61050461_1.html,"Hoy en Fusion Colombia presentamos, “Adrian Alzate – Hip Hop a Blanco y Negro”, entrevista, y recorrido por su carrera musical. Realizador: Alejandro Patiño. Fecha de emisión: 28 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Sin Fronteras - Vanessa Giraldo de Armenia,https://www.ivoox.com/fusion-colombia-sin-fronteras-vanessa-giraldo-audios-mp3_rf_65633827_1.html,"Esta ocasión en Fusión Colombia presentamos, “Sin Fronteras - Vanessa Giraldo de Armenia”, Escucharemos",No aplica,No aplica
Antologia Inicial - Hector Escobar Gutierrez,https://co.ivoox.com/es/hace-anos-lecturas-recuperadas-poetas-pereiranos-audios-mp3_rf_53144655_1.html,En esta entrega de Hace Años En La Historia presentamos Antologia inicial de Hector Escobar Gutierrez /--/Realizador: José Fernando Marín    /--/Fecha de emisión: 03/28/2020,David Vargas,Productor: Luz Mery Bermúdez
Relatos de la Florida,https://co.ivoox.com/es/hace-anos-relatos-la-florida-audios-mp3_rf_53147225_1.html,Hace años en la historia relatos y música para revivir la época de los abuelos en La Florida /--/Realizador: José Fernando Marín. /--/ Fecha de emisión: 04/04/2020,David Vargas,Productor: Luz Mery Bermúdez
Poemas de la errancia - Olga Lucia Betancur,https://co.ivoox.com/es/hace-anos-poemas-errancia-textos-audios-mp3_rf_53148060_1.html,"En este episodio de Hace Años en la Historia presentamos ""Poemas de la errancia"" Olga Lucia Betancur /--/ Realizador: José Fernando Marín    /--/Fecha de emisión: 22/04/2020",David Vargas,Productor: Luz Mery Bermúdez
Pereira Vision Caleidoscopica - Rigoberto Gil Montoya,https://co.ivoox.com/es/hace-anos-pereira-vision-caleidoscopica-rigoberto-audios-mp3_rf_53196878_1.html,En este episodio de Hace años en la historia presentamos “Pereira visión caleidoscópica” de Rigoberto Gil Montoya /--/Realizador: José Fernando Marín /--/Fecha de emisión: 04/18/2020,David Vargas,Productor: Luz Mery Bermúdez
La Magia De Los Libros Infantiles,https://co.ivoox.com/es/hace-anos-la-magia-de-los-libros-audios-mp3_rf_53197214_1.html,En esta entrega de Hace años en la historia presentamos “La Magia De Los Libros Infantiles” Junto a la invitada “Ana María Arenas Mejía” que nos habla de la importancia de “Dar de leer” /--/Realizador: José Fernando Marín /--/Fecha de emisión: 04/25/2020,David Vargas,Productor: Luz Mery Bermúdez
Francis Fukuyama y El Fin De La Historia,https://co.ivoox.com/es/hace-anos-francis-fukuyama-el-fin-audios-mp3_rf_53339361_1.html,En este episodio de Hace años en la historia presentamos “Francis Fukuyama y el Fin de la historia” resumen histórico político económico de las últimas décadas /--/Realizador: José Fernando Marín  /--/Fecha de emisión: 05/02/2020,David Vargas,Productor: Luz Mery Bermúdez
Ensayo Sobre Poetas Colombianos - William Ospina,https://co.ivoox.com/es/hace-anos-ensayo-sobre-poetas-colombianos-audios-mp3_rf_53341287_1.html,En esta entrega de Hace años en la historia presentamos “Ensayo Sobre Poetas Colombianos” por William Ospina. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 05/09/2020,David Vargas,Productor: Luz Mery Bermúdez
Historia Economica de Colombia - Alberto Mayor Mora,https://co.ivoox.com/es/historia-economica-colombia-alberto-mayor-mora-audios-mp3_rf_53343519_1.html,"En este episodio de Hace años en la historia presentamos “Historia Económica de Colombia” Alberto Mayor Mora, ¿Como surgió la industria en Colombia? /--/Realizador: José Fernando Marín /--/Fecha de emisión: 05/19/2020",David Vargas,Productor: Luz Mery Bermúdez
Soledad bajo el sol - Gonzal Arango,https://co.ivoox.com/es/hace-anos-soledad-bajo-el-sol-audios-mp3_rf_53352830_1.html,En esta entrega de Hace años en la historia presentamos “Soledad bajo el sol - Gonzalo Arango” /--/Realizador: José Fernando Marín /--/Fecha de emisión 05/23/2020,David Vargas,Productor: Luz Mery Bermúdez
Relaciones históricas entre el Valle del Cauca y Risaralda - Siglos XVI a XIX,https://co.ivoox.com/es/hace-anos-relaciones-entre-valle-del-audios-mp3_rf_53848430_1.html,"En esta entrega de Hace años en la historia presentamos La revista “Pereira cultural” #15 de 2002, “El primer congreso de Historia Regional - Memorias” del profesor Alfonso Valencia Llano de la Universidad del Valle leeremos “Relaciones históricas entre el Valle del Cauca y Risaralda, siglos XVI - XIX” /--/Realizador: José Fernando Marín /--/Fecha de emisión: Mayo/29/2020",David Vargas,Productor: Luz Mery Bermúdez
Colombia y sus Oligarquias,https://co.ivoox.com/es/hace-anos-colombia-sus-oligarquias-audios-mp3_rf_53849225_1.html,"En este episodio de Hace años en la historia presentamos “Historia de Colombia y sus Oligarquías” de Antonio Caballero, “Los cuatro jinetes del apocalipsis… Narcotráfico, Paramilitarismo, Insurgencia, y Clientelismo.” /--/Realizador: José Fernando Marín /--/Fecha de emisión: Junio/06/2020",David Vargas,Productor: Luz Mery Bermúdez
El Principito - Mas De Lo Que Parece,https://co.ivoox.com/es/buhardilla-el-principito-mas-de-audios-mp3_rf_55693571_1.html,"En este episodio de La Buhardilla presentamos, “El Principito – Mas De Lo Que Parece”, una crítica a la adultez. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 2 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Grandes conflictos sociales y economicos de nuestra historia - Indalesio Lievano Aguirre,https://co.ivoox.com/es/hace-anos-grandes-conflictos-sociales-economicos-audios-mp3_rf_53851191_1.html,"En esta entrega de Hace años en la historia presentamos “Grandes conflictos sociales y económicos de nuestra historia” de Indalecio Lievano Aguirre, “De la primera lucha por la justicia a la estrategia política de la revolución” /--/Realizador: José Fernando Marín /--/Fecha de realización: Junio/20/2020",David Vargas,Productor: Luz Mery Bermúdez
Don German Arciniegas,https://co.ivoox.com/es/german-arciniegas-04-julio-2020-audios-mp3_rf_53617906_1.html,Don German Arciniegas,No aplica,No aplica
"Lecturas recuperadas de historiadores Colombianos""",David Vargas,Productor: Luz Mery Bermúdez,No aplica,No aplica
Conquista de America,https://co.ivoox.com/es/hace-anos-conquista-america-german-audios-mp3_rf_54813390_1.html,"En este capítulo de Hace Años En La Historia presentamos, Don German Arciniegas, América es otra cosa, visiones e imágenes sobre América",No aplica,No aplica
Dinamica del conflicto interno armado 1998,https://co.ivoox.com/es/hace-anos-dinamica-del-conflicto-interno-armado-audios-mp3_rf_53804073_1.html,"Esta ocasión en Hace años en la historia rescatamos un articulo publicado en la revista “Eclipse de la guerra” del año 1998 del historiador Jaime Zuluaga Nieto, el articulo titula “Dinámica del conflicto interno armado” /--/Realizador: José Fernando Marín /--/Fecha de emisión: 07/11/2020",David Vargas,Productor: Luz Mery Bermúdez
John Muir - Preservacionismo y Naturaleza,https://co.ivoox.com/es/hace-anos-john-muir-preservacionismo-y-audios-mp3_rf_54814076_1.html,"En esta entrega de Hace Años En La Historia presentamos John Muir, Preservacionismo y naturaleza",No aplica,No aplica
America Año 1810 - Indalecio Lievano Aguirre,https://co.ivoox.com/es/hace-anos-america-ano-1810-indalecio-audios-mp3_rf_54817875_1.html,"En esta entrega de Hace Años En La Historia presentamos, Indalecio Liévano Aguirre, América año 1810. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 25 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Lisimaco Salazar Ruiz - Ambicion,https://co.ivoox.com/es/hace-anos-lisimaco-salazar-ruiz-relatos-audios-mp3_rf_55496324_1.html,"En este episodio de Hace Años En La Historia presentamos, “Lisimaco Salazar Ruiz”, relatos recuperados de escritores Pereiranos, historia del Guaquero Braulio Ruiz “Ambicion”. /--/Realizador: José Fernando Marín  /--/Fecha de emisión: 1 Agosto 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Legado Egipcio – El Ojo Y La Clepsidra - Eduardo López Jaramillo,https://co.ivoox.com/es/legado-egipcio-8211-el-ojo-y-la-audios-mp3_rf_55496762_1.html,"En este episodio de Hace Años En La Historia presentamos, “El Legado Egipcio – El Ojo Y La Clepsidra - Eduardo López Jaramillo”, el himno de Akenatón, al recuerdo de Andres Olguin, lecturas recuperadas de poetas Pereiranos. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 8 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Gustav Klimt - Arte Moderno,https://co.ivoox.com/es/hace-anos-gustav-klimt-arte-moderno-audios-mp3_rf_56581012_1.html,"En esta ocasión en Hace Años En La Historia presentamos, “Gustav Klimt – Arte Moderno”, Viena entre el siglo XIX y XX, Gustav Klimt “un pintor adelantado a su época”. /--/Realizador: Jose Fenando Marin. /--/Fecha de emisión: 15 Agosto 2020.",David Vargas,Productor: Luz Mery Bermúdez
Los Guardianes del Pont-Sancta Sanctorum,https://co.ivoox.com/es/juglares-del-rock-los-guardianes-del-pont-sancta-audios-mp3_rf_50308341_1.html,Los Guardianes del Pont - Sancta Sanctorum heavy metal en Catalán.,David Vargas,Productor: Luz Mery Bermúdez
El Principio de las Cosas (Bella Bestia),https://co.ivoox.com/es/juglares-del-rock-el-principio-las-audios-mp3_rf_50840976_1.html,La busqueda de las bandas que fortalecen el movimiento rock y heavy hispano americano / El Principio de las Cosas (Bella Bestia),David Vargas,Productor: Luz Mery Bermúdez
Poesía – Walt Whitman,https://co.ivoox.com/es/buhardilla-poesia-8211-walt-whitman-audios-mp3_rf_56704113_1.html,"En esta ocasión en La Buhardilla presentamos, “Poesía – Walt Whitman”, Una velada en la biblioteca de La Buhardilla escuchando del viejo Walt Whitman, música y poesía. /--/Realizador: Jose Fernando Marin  /--/Fecha de emisión: 18 Julio 2003",David Vargas,Productor: Luz Mery Bermúdez
Un pasaporte a la imaginacion,https://co.ivoox.com/es/buhardilla-pasaporte-a-imaginacion-audios-mp3_rf_55120854_1.html,"La Buhardilla, Un pasaporte a la imaginación, viaje con nosotros en el maravilloso mundo de la literatura. /--/ Realizador: José Fernando Marín /--/ Fecha de emisión: 5 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
Poesia de Jhorch Ischaide,https://co.ivoox.com/es/buhardilla-poesia-jhorch-ischaide-audios-mp3_rf_55116266_1.html,"Esta ocasión en La Buhardilla, presentamos “Poesía de Jhorch Ischaide“, poeta francés del siglo XX, “Volver a la poesía de Jhorch Ischaide, es como ir a una fuente de agua pura”.  /--/Realizador: José Fernando Marín /--/Fecha de emisión: 12 Julio 2020.",David Vargas,Productor: Luz Mery Bermúdez
Cocó Chanel y la Moda,https://co.ivoox.com/es/buhardilla-coco-chanel-moda-audios-mp3_rf_55121721_1.html,"En esta ocasión de La Buhardilla, presentamos “Cocó Chanel y la Moda”, música, charla, y moda. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 19 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
El Arte De Envejecer,https://co.ivoox.com/es/buhardilla-el-arte-de-envejecer-audios-mp3_rf_55127125_1.html,"En esta ocasión en La Buhardilla, presentamos “El arte de envejecer”, una charla en la mágica biblioteca de la buhardilla. /--/Realizador: José Fernando Marín /--/Fecha de emisión: 26 Julio 2020",David Vargas,Productor: Luz Mery Bermúdez
Dia de las Madres,https://co.ivoox.com/es/libreria-fantastica-dia-madres-audios-mp3_rf_53037866_1.html,"En esta entrega de la Librería Fantástica celebramos el día de las Madres, historia, cuentos, y canciones /Realizador: Patricia Zorro Fecha de emisión: 11/05/2020",David Vargas,Productor: Luz Mery Bermúdez
Oscar Wilde - Juicio Condena Prision,https://co.ivoox.com/es/buhardilla-oscar-wilde-juicio-condena-audios-mp3_rf_55695654_1.html,"En La Buhardilla presentamos, “Oscar Wilde – Juicio Condena Prision”, su historia personal y paso por prisión defendiendo su orgullo. /--/Realizador: Jose Fernando Marin /--/Fecha de emisión: 9 Agosto 2020",David Vargas,Productor: Luz Mery Bermúdez
Chavela Vargas,https://www.ivoox.com/buhardilla-chavela-vargas-audios-mp3_rf_60979553_1.html,"En esta ocasión en La Buhardilla presentamos, “Chavela Vargas”, Charlamos del libro “Dos Vidas Necesito – Las Verdades De Chavela”, café, música e historias. Realizador: Jose Fernando Marin. Fecha de emisión: 6 Septiembre 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Dia Del Amor Y La Amistad,https://www.ivoox.com/buhardilla-el-dia-del-amor-y-audios-mp3_rf_60980263_1.html,"Hoy en La Buhardilla festejamos, “El Dia Del Amor Y La Amistad”, acompáñenos en esta tertulia hoy este día tan especial, el día de los novios",No aplica,No aplica
El Dia Del Amor Y La Amistad 2,https://www.ivoox.com/buhardilla-el-dia-del-amor-y-audios-mp3_rf_60981028_1.html,"Esta vez en La Buhardilla seguimos charlando sobre, “El Dia Del Amor Y La Amistad 2”, el amor no es solo una afinidad con otra persona, el amor va mas allá de ello",No aplica,No aplica
Filosofía con Liliana Herrera Álzate,https://www.ivoox.com/buhardilla-filosofia-liliana-herrera-alzate-audios-mp3_rf_60981395_1.html,"Esta vez en La Buhardilla presentamos, “Filosofía con Liliana Herrera Álzate”, relatos y biografia sobre esta querida personalidad Pereirana",No aplica,No aplica
Homenaje a - Quino - Mafalda,https://www.ivoox.com/buhardilla-homenaje-a-quino-audios-mp3_rf_61050761_1.html,"Esta ocasión de La Buhardilla presentamos, “Homenaje a - Quino - Mafalda”, opiniones, datos, e historias, de este memorable personaje y su obra",No aplica,No aplica
Enciclica Fratelli Tutti – Francisco De Asis,https://www.ivoox.com/buhardilla-enciclica-fratelli-tutti-8211-francisco-audios-mp3_rf_61051069_1.html,"En este episodio de La Buhardilla presentamos, “Enciclica Fratelli Tutti – Francisco De Asis”, Fraternidad y amista social son las vias para construir un mundo mejor, mas justo y pacifico, con el compromiso de todos.  Realizador: Jose Fernando Marin. Fecha de emisión: 11 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
El Infinito En Un Junco – Irene Vallejo,https://www.ivoox.com/buhardilla-el-infinito-en-un-junco-audios-mp3_rf_61051308_1.html,"Hoy en La Buhardilla presentamos, “El Infinito En Un Junco – Irene Vallejo”, La invención de los libros en el mundo antiguo. Realizador: Jose Fernando Marin. Fecha de emisión: 18 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Marilyn Monroe,https://www.ivoox.com/buhardilla-marilyn-monroe-audios-mp3_rf_61051520_1.html,"Esta vez en La Buhardilla presentamos, “Recordando a Marilyn Monroe”, música, biografia e historia. Realizador: Jose Fernando Marin. Fecha de emisión: 25 Octubre 2020.",David Vargas,Productor: Luz Mery Bermúdez
Angela Molina - Plan Municipal de Cultura,https://co.ivoox.com/es/voces-la-cultura-angela-molina-audios-mp3_rf_48798519_1.html,las funciones que se proyectan en el plan municipal de cultura para la secretaría de cultura de pereira por el concurso de meritos en la elecciòn de su secrario de cultura. / Participación en el plan de desarrollo nacional de cultura.,David Vargas,Productor: Luz Mery Bermúdez
Entrevista a Diego Guarnizo (Director de Arte en Cine y TV),https://co.ivoox.com/es/voces-la-cultura-entrevista-a-audios-mp3_rf_50308021_1.html,"La experiencia de Diego Guarnizo Director de Arte (Diseño de Producción) en Cine y TV para las diferentes producciones nacionales desdesus comienzos en ""La Casa de Las Dos Palmas""",David Vargas,Productor: Luz Mery Bermúdez
Carlos Moreno (Dir. Cine),https://co.ivoox.com/es/voces-la-cultura-carlos-moreno-audios-mp3_rf_50842081_1.html,"Es uno de los directores más reconocidos en el ámbito audiovisual colombiano, por su trabajo como director en películas como PERRO COME PERRO, TODOS TUS MUERTOS, EL CARTEL DE LOS SAPOS, QUE VIVA LA MÚSICA y el documental UNO LA HISTORIA DE UN GOL. En televisión ha dirigido las series LOS CABALLEROS LAS PREFIEREN BRUTAS, TIEMPO FINAL, SIN RETORNO, MENTES EN SHOCK,ESCOBAR EL PATRÓN DEL MAL, LOS HOMBRES TAMBIÉN LLORAN y recientemente AZÚCAR. Tiene amplia experiencia como Director de Comerciales, video clips y cortometrajes, además es Director de la exitosa serie web para Poker ENTRE PANAS.",David Vargas,Productor: Luz Mery Bermúdez
Hernan Mallama - Literatura Regional,https://co.ivoox.com/es/voces-cultura-hernan-mallama-audios-mp3_rf_54352980_1.html,"En este episodio de Las Voces De La Cultura invitamos al profesor, poeta, y escritor, Hernan Mallama, quien nos habla de la literatura regional /--/Realizador: Franklin Molano /--/Fecha de emisión: Julio/22/2020",David Vargas,Productor: Luz Mery Bermúdez
156 años de Pereira,https://co.ivoox.com/es/letras-musica-156-anos-pereira-audios-mp3_rf_40638235_1.html,Dedicado a Ricardo Sánchez Arenas a propósito de los 156 años de Pereira. Música de Amaretto Ensamble.,David Vargas,Productor: Luz Mery Bermúdez
Esencia y Misión del Maestro por Julio Cortázar,https://co.ivoox.com/es/letras-musica-esencia-mision-del-audios-mp3_rf_48685878_1.html,"Programa dedicado a la labor de los docentes teniendo como base la publicación ""Esencia y Misión del Maestro"" plasmada por el escritor Julio Cortázar en la revista ""Argentina"" en octubre de 1939.",David Vargas,Productor: Luz Mery Bermúdez
Los Rostros de la Salsa,https://co.ivoox.com/es/letras-musica-los-rostros-la-audios-mp3_rf_48700941_1.html,"En la emisión de este programa, reseñamos la publicación del libro ""Los Rostros de la Salsa"" del cubano Leonardo Padura. Con la cual el melómano desea saber un poco más de todo lo que rodea a la salsa, conociendo la trayectoria de algunos de los más encumbrados artistas de este género.",David Vargas,Productor: Luz Mery Bermúdez
Javier Cercas (Terra Alta),https://co.ivoox.com/es/letras-musica-javier-cercas-terra-alta-audios-mp3_rf_49060384_1.html,"Durante este programa, se hace una reseña interesante del más reciente libro del escritor español Javier Cercas titulado ""Terra Alta"" en el cual una pequeña localidad de España ocurre un crimen terrible a través de una narración trepidante y repleta de personajes memorables, esta novela se convierte en una lúcida reflexión sobre el valor de la ley, la posibilidad de la justicia y la legitimidad de la venganza, pero sobre todo en la epopeya de un hombre en busca de su lugar en el mundo.",David Vargas,Productor: Luz Mery Bermúdez
RICARD –  31/ Marzo,https://co.ivoox.com/es/ricard-31-marzo-audios-mp3_rf_51918886_1.html,"Matthieu Ricard fue bautizado como el hombre más feliz del mundo. Ricard es un monje budista nacido hace 73 años en Francia, hijo del célebre pensador francés Jean-François Revel reconocido por su agnosticismo y su escepticismo ante cualquier forma de metafísica.",No aplica,No aplica
Ricard se doctoro en Biología Molecular en el Instituto Pasteur y trabajo con el premio nobel François Jacob en 1972 decidió abandonar su carrera científica movido por su interés en el budista. Se trasladó al Himalaya,"fue discípulo y asistente del maestro Dilgo Khyentse Rinpoche.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica
Libro: Memoria por correspondencia – Emma Reyes –  07/ abril,https://co.ivoox.com/es/libro-memoria-correspondencia-emma-reyes-audios-mp3_rf_51919593_1.html,Libro: Memoria por correspondencia – Emma Reyes –  07/ abril,No aplica,No aplica
23 cartas dirigidas a German Arciniegas cuentan la historia de una niña Bogotana que nació ilegitima en 1919 y que vivo unos años con su supuesta mamá en la capital,en guateque y en Fusagasugá para luego ser abandonada y entregada a un convento de monjas de donde se fugó cuando dejo de ser niña.,No aplica,No aplica,No aplica
Francisco de Roux 14/abril,https://co.ivoox.com/es/francisco-roux-14-abril-audios-mp3_rf_51920445_1.html,Francisco de Roux 14/abril,No aplica,No aplica
Reflexión del Sacerdote Jesuita,Francisco Roux,No aplica,No aplica,No aplica
"El P. Francisco de Roux es un jesuita que ha trabajado incansablemente por la consecución de la paz en Colombia. Actualmente es el presidente de la Comisión de la Verdad. Compartimos con ustedes un texto que fue publicado el pasado 29 de marzo por el portal Semana de Colombia y que nos invita a una reflexión en profundidad sobre nuestro modo de estar en el mundo y de relacionarnos con todo lo que nos rodea.""",David Vargas,Productor: Luz Mery Bermúdez,No aplica,No aplica
